SPI-H,SPI-A,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
69.2,61.9,-1,2.23,2.14,1.78,1.73
91.5,65.1,-2.5,2.16,2.09,1.81,1.77
70.2,57.8,-0.25,2.04,1.98,1.92,1.86
63.1,78,1.25,1.89,1.85,2.05,2
64.3,70,0,1.86,1.8,2.11,2.03
45.3,58.8,0.5,2.01,1.95,1.95,1.89
76.9,42.2,-1.5,1.83,1.77,2.15,2.08
76.1,69.7,-0.5,1.97,1.92,1.98,1.93
75.3,63.9,-0.5,1.89,1.84,2.07,2.01
63.9,76.1,-0.25,1.92,1.89,2.04,1.98
42.2,91.5,2,1.92,1.86,2.06,2
57.8,69.2,0,1.8,1.75,2.22,2.13
61.9,70.2,0,1.89,1.83,2.08,2.02
69.7,45.3,-0.5,2.08,2.03,1.88,1.83
58.8,64.3,-1,1.87,1.83,2.08,2.03
65.1,63.1,-0.5,2.05,1.99,1.92,1.87
78,76.9,-0.75,2.04,1.98,1.92,1.88
70,75.3,0,1.99,1.94,1.98,1.9
91.5,58.8,-1.5,1.78,1.73,2.23,2.16
42.2,69.7,0,1.97,1.87,2.05,1.98
64.3,57.8,-0.25,2.06,2,1.9,1.86
45.3,61.9,0,1.66,1.62,2.43,2.34
63.1,70,0.25,1.83,1.79,2.14,2.07
76.1,78,1,2.3,2.2,1.75,1.7
76.9,63.9,-1,1.97,1.92,2,1.92
69.2,65.1,-0.25,1.9,1.85,2.06,1.99
75.3,70.2,-0.5,1.85,1.8,2.12,2.05
57.8,45.3,-0.5,2.08,2.02,1.89,1.84
65.1,76.1,-0.25,1.96,1.92,1.98,1.93
61.9,75.3,0,2.09,2.03,1.88,1.82
63.9,91.5,1.75,1.96,1.91,2.02,1.96
70,69.2,-0.5,2.1,2.05,1.87,1.81
69.7,76.9,0.5,2.01,1.94,2,1.92
58.8,63.1,-1.25,1.98,1.94,1.97,1.92
78,42.2,-2.5,2.13,2.06,1.85,1.81
70.2,64.3,-0.5,2.01,1.96,1.97,1.9
42.2,63.9,0.25,1.88,1.83,2.09,2.04
63.1,69.7,0,1.92,1.89,2.01,1.96
64.3,61.9,-0.25,1.88,1.84,2.08,2.02
76.1,70,0,1.9,1.84,2.08,2.01
45.3,70.2,0,1.86,1.83,2.1,2.02
69.2,58.8,0,2.01,1.95,1.95,1.9
91.5,78,-1,1.88,1.84,2.07,2.02
76.9,65.1,-1.5,2.15,2.1,1.81,1.78
75.3,57.8,-0.75,2,1.94,1.97,1.91
63.9,78,1,2.15,2.08,1.84,1.79
65.1,42.2,-0.5,1.83,1.8,2.14,2.08
70.2,69.2,-0.25,2.12,2.02,1.91,1.84
61.9,76.9,0.75,1.86,1.82,2.09,2.04
75.3,64.3,-0.75,2.09,2.01,1.88,1.85
69.7,91.5,2,1.93,1.87,2.05,1.98
58.8,76.1,-1,2.1,2.04,1.87,1.82
57.8,63.1,-0.5,1.96,1.92,1.98,1.93
70,45.3,-0.75,2.03,1.98,1.92,1.88
76.1,61.9,-0.5,2.15,2.08,1.83,1.8
91.5,57.8,-2.5,1.91,1.87,2.05,1.99
42.2,58.8,0.5,2.09,2.04,1.87,1.82
63.1,70.2,0,1.88,1.83,2.07,2.01
45.3,64.3,-0.25,2.15,2.1,1.83,1.78
76.9,70,-1,2.02,1.93,1.98,1.92
63.9,69.7,-0.5,2.08,2.03,1.87,1.83
78,65.1,-2,1.87,1.84,2.08,2.03
69.2,75.3,-0.5,2.22,2.15,1.79,1.74
70.2,91.5,2,2.26,2.18,1.87,1.72
65.1,63.9,-0.25,2.04,1.98,1.95,1.87
57.8,76.1,-0.25,1.86,1.82,2.11,2.04
64.3,69.2,0,2.11,2.05,1.85,1.8
75.3,45.3,-0.5,1.84,1.81,2.13,2.04
69.7,78,1.25,2.11,2.03,1.87,1.82
58.8,76.9,0,1.95,1.89,2.02,1.95
61.9,63.1,-0.5,2.02,1.97,1.95,1.89
